model,capacity,selected_n,precision,recall_capture,lift
focused_extra_ensemble,0.03,598,0.3996655518394649,0.10760918505177848,3.582054243546325
focused_extra_ensemble,0.05,996,0.3413654618473896,0.15308419630796938,3.059532140267509
focused_extra_ensemble,0.1,1991,0.2737317930688096,0.2453849617289509,2.4533566289183812
focused_extra_ensemble,0.2,3982,0.22451029633350075,0.4025213867627195,2.0122025928926908
strict_history_ensemble,0.03,598,0.42642140468227424,0.11481314723097703,3.8218570380933596
strict_history_ensemble,0.05,996,0.3674698795180723,0.16479063484916703,3.2934963627585536
strict_history_ensemble,0.1,1991,0.30135610246107486,0.270148581719946,2.70094307770831
strict_history_ensemble,0.2,3982,0.2363134103465595,0.42368302566411525,2.117989530102933
target_history_sensitivity_ensemble,0.03,598,0.4414715719063545,0.11886537595677622,3.9567461100260664
target_history_sensitivity_ensemble,0.05,996,0.3785140562248996,0.16974335884736605,3.3924812261201494
target_history_sensitivity_ensemble,0.1,1991,0.3008538422903064,0.26969833408374605,2.696441505912129
target_history_sensitivity_ensemble,0.2,3982,0.2345554997488699,0.4205312922107159,2.102234028816301
