model,fold,pr_auc,roc_auc,brier,log_loss,fit_seconds,n_validation,positive_rate
prefix_catboost_no_history,1,0.2573012597678776,0.6888052881525407,0.09460997714116809,0.32912599157871525,56.73106384277344,19868,0.11420374471511979
prefix_catboost_strict_history,1,0.2726751921352776,0.7020494097848171,0.0936475325139642,0.32554062035523296,88.59282898902893,19868,0.11420374471511979
prefix_catboost_no_history,2,0.24835332811854952,0.6855933090828923,0.09511610880624015,0.33053994215607674,77.22639226913452,19868,0.11415341252264949
prefix_catboost_strict_history,2,0.26611479468807414,0.6962733235129068,0.09407826198187579,0.32702863388133413,87.90991520881653,19868,0.11415341252264949
prefix_catboost_no_history,3,0.2409397810090414,0.6816380106905002,0.0943028224354862,0.328648901861084,75.23219680786133,19868,0.11249245017112945
prefix_catboost_strict_history,3,0.25459592871671816,0.6938935042859312,0.09340772239899882,0.3252688101918037,90.77684998512268,19868,0.11249245017112945
prefix_catboost_no_history,4,0.2493849746489614,0.6807969201840607,0.09577970881601228,0.33279637850968025,77.24714636802673,19868,0.11490839540970404
prefix_catboost_strict_history,4,0.26191505272866233,0.6890317238926229,0.09503888489724092,0.33024647387986117,107.88240003585815,19868,0.11490839540970404
prefix_catboost_no_history,5,0.244047937796505,0.6784851180898657,0.09502826756585762,0.33095024924322275,83.47255396842957,19868,0.11370042279041676
prefix_catboost_strict_history,5,0.25248942534361735,0.6889742158944185,0.09442915346490928,0.32843701893892924,95.53013396263123,19868,0.11370042279041676
