model,capacity,selected_n,true_positive,false_positive,precision,recall_capture,lift,expected_true_positive_random,extra_true_positive_vs_random,extra_true_positive_vs_non_history
非历史增强集成,0.03,598,239,359,0.3996655518394649,0.10760918505177848,3.582054243546325,66.72149100773636,172.27850899226365,
非历史增强集成,0.05,996,340,656,0.3413654618473896,0.15308419630796938,3.059532140267509,111.12810207977493,228.87189792022508,
非历史增强集成,0.1,1991,545,1446,0.2737317930688096,0.2453849617289509,2.4533566289183812,222.14462975987138,322.85537024012865,
非历史增强集成,0.2,3982,894,3088,0.22451029633350075,0.4025213867627195,2.0122025928926908,444.28925951974276,449.71074048025724,
严格历史主模型,0.03,598,255,343,0.42642140468227424,0.11481314723097703,3.8218570380933596,66.72149100773636,188.27850899226365,16.0
严格历史主模型,0.05,996,366,630,0.3674698795180723,0.16479063484916703,3.2934963627585536,111.12810207977493,254.87189792022508,26.0
严格历史主模型,0.1,1991,600,1391,0.30135610246107486,0.270148581719946,2.70094307770831,222.14462975987138,377.85537024012865,55.0
严格历史主模型,0.2,3982,941,3041,0.2363134103465595,0.42368302566411525,2.117989530102933,444.28925951974276,496.71074048025724,47.0
目标历史敏感性,0.03,598,264,334,0.4414715719063545,0.11886537595677622,3.9567461100260664,66.72149100773636,197.27850899226365,25.0
目标历史敏感性,0.05,996,377,619,0.3785140562248996,0.16974335884736605,3.3924812261201494,111.12810207977493,265.8718979202251,37.0
目标历史敏感性,0.1,1991,599,1392,0.3008538422903064,0.26969833408374605,2.696441505912129,222.14462975987138,376.85537024012865,54.0
目标历史敏感性,0.2,3982,934,3048,0.2345554997488699,0.4205312922107159,2.102234028816301,444.28925951974276,489.71074048025724,40.0
